Bus,Type,Padubidri,Belman
Vishal,Express,07:30,07:48
Reshma,Hybrid,07:42,08:00
Navadurga Prasad,Express,08:12,08:30
Srilaxmi,Local,08:23,08:41
Kusuma,Express,08:39,08:57
Milan,Local,08:58,09:16
Vishal,Express,09:12,09:30
Mercy,Local,09:27,09:45
Navadurga Prasad,Express,09:48,10:06
Keerthi,Local,10:12,10:30
Navadurga Prasad,Express,10:27,10:45
Sangam,Local,10:41,10:59
Laxmi Ganesh,Express,10:59,11:17
Padmambikaa,Express,11:12,11:30
Vishal,Express,11:27,11:45
Shahil,Local,11:41,11:59
Vishal,Express,11:55,12:13
Vishal,Express,12:10,12:28
Christa Jyothi,Local,12:26,12:44
Vishal,Express,12:39,12:57
Navadurga Prasad,Express,12:56,13:14
Sangam,Local,13:09,13:27
Bharathi,Express,13:24,13:42
Bharathi,Express,13:48,14:06
Navadurga Prasad,Express,14:02,14:20
Vishal,Express,14:18,14:36
Milan,Local,14:34,14:52
Sangam,Local,14:56,15:14
Laxmi Ganesh,Express,15:14,15:32
Reshma,Express,15:34,15:52
Christa Jyothi,Local,15:56,16:14
Padmambikaa,Express,16:24,16:42
Pranam,Local,16:42,17:00
Sangam,Local,17:10,17:28
Rashmi Travels,Local,17:34,17:52
